Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/20  17:00:00,1486.81467546,143.655309938,519.50306706,0.0,243.2593065,310.10971186,197.836352463,95.4686316268,84.9700494144,17.3976714222
 10/20  18:00:00,1161.70477914,97.4434862185,510.992165779,0.0,166.938926447,199.110933808,236.238089634,142.57886498,84.9700494144,8.68917523923
 10/20  19:00:00,1162.90269723,97.459323712,510.46140779,0.0,166.938926447,191.61365848,258.736025631,186.021788036,56.6466996096,16.0675379855
 10/20  20:00:00,1033.68651103,97.4466927516,514.820039221,0.0,100.150657288,124.558693486,328.74445611,262.117649316,56.6466996096,9.98010718404
 10/20  21:00:00,1009.90303773,97.4441583618,528.627138765,0.0,100.150657288,124.558693486,334.011809193,282.851074663,42.4850247072,8.67570982266
 10/20  22:00:00,949.544320682,97.4315639256,534.706279654,0.0,46.0930336215,124.558693486,344.61676615,307.619010095,28.3233498048,8.67440625077
 10/20  23:00:00,955.967839281,97.4223467293,539.639486801,0.0,46.0930336215,124.558693486,343.967976439,321.131441298,14.1616749024,8.67486023925
 10/20  24:00:00,945.502015322,97.4154559604,541.02520828,0.0,46.0930336215,113.312780494,346.30788616,331.969720063,5.66466996096,8.67349613598
 10/21  01:00:00,938.943628145,97.4147113599,535.076567238,0.0,46.0930336215,113.312780494,350.187365391,335.848676717,5.66466996096,8.67401871286
 10/21  02:00:00,932.611978542,97.4147113599,529.731527206,0.0,46.0930336215,113.312780494,359.17217381,344.832975347,5.66466996096,8.67452850155
 10/21  03:00:00,939.437106409,97.4147113599,535.754251815,0.0,46.0930336215,113.312780494,370.848598077,356.508916672,5.66466996096,8.67501144429
 10/21  04:00:00,944.125280474,97.4147113599,530.462194005,0.0,55.6251445156,113.312780494,359.168165388,344.829837278,5.66466996096,8.67365814981
 10/21  05:00:00,934.975385925,97.4147113599,522.373058357,0.0,55.6251445156,113.312780494,362.830248265,339.994469922,14.1616749024,8.67410344056
 10/21  06:00:00,1002.6956811,97.4147113599,517.692434464,0.0,65.1572554096,176.889270242,317.52883887,280.530921361,28.3233498048,8.67456770415
 10/21  07:00:00,1116.35222205,101.070678446,517.999430936,0.0,109.682768182,220.96816451,428.922921879,369.108925925,42.4850247072,17.3289712474
 10/21  08:00:00,1120.4577094,101.009472683,516.188255952,0.0,109.682768182,220.96816451,389.914670478,324.565711203,56.6466996096,8.70225966482
 10/21  09:00:00,1228.25723652,104.256485882,513.884448445,0.0,131.945524568,266.955817592,330.263235672,270.338679721,42.4850247072,17.4395312435
 10/21  10:00:00,1237.19849533,104.831965369,513.237676867,0.0,131.945524568,274.45309292,325.916076489,237.617369123,70.808374512,17.4903328534
 10/21  11:00:00,1241.23226595,105.658802683,513.213325395,0.0,131.945524568,274.45309292,295.835345143,207.541931399,70.808374512,17.4850392325
 10/21  12:00:00,1211.52474676,106.213328487,513.253989867,0.0,131.945524568,274.45309292,280.893133903,192.600106018,70.808374512,17.4846533731
 10/21  13:00:00,1203.82094511,107.151024593,512.364306755,0.0,131.945524568,266.955817592,263.259097774,189.125511318,56.6466996096,17.486886846
 10/21  14:00:00,1203.81382876,108.533017593,511.622604369,0.0,131.945524568,266.955817592,248.745524673,180.044365749,42.4850247072,26.2161342167
 10/21  15:00:00,1109.94160718,97.4530534261,511.033978058,0.0,109.682768182,212.545889182,218.551587802,144.420840872,56.6466996096,17.4840473205
 10/21  16:00:00,1123.55384991,97.5175133756,516.520255243,0.0,109.682768182,220.04316451,273.002633604,170.546468404,84.9700494144,17.4861157854
 10/21  17:00:00,1101.03129968,97.5056833982,534.427041853,0.0,109.682768182,220.04316451,293.419850413,191.019597825,84.9700494144,17.4302031735
 10/21  18:00:00,1089.89868056,97.4714742304,557.922087126,0.0,100.150657288,199.110933808,334.386720448,240.741683808,84.9700494144,8.67498722533
 10/21  19:00:00,1098.89025769,97.4660358317,562.127360568,0.0,100.150657288,191.61365848,319.671273817,254.350948753,56.6466996096,8.67362545434
 10/21  20:00:00,982.836405529,97.4502240963,557.326043807,0.0,55.6251445156,124.558693486,362.036587049,296.715823248,56.6466996096,8.67406419073
 10/21  21:00:00,980.613818153,97.4417306004,555.387503584,0.0,55.6251445156,124.558693486,358.494041111,307.33449344,42.4850247072,8.67452296342
 10/21  22:00:00,971.795529592,97.4344901369,556.797336313,0.0,46.0930336215,124.558693486,364.860479807,327.862139148,28.3233498048,8.6749908546
 10/21  23:00:00,972.508806626,97.4277226254,556.575143106,0.0,46.0930336215,124.558693486,360.321221963,337.485910387,14.1616749024,8.67363667271
 10/21  24:00:00,961.864817075,97.4182197469,558.386041617,0.0,46.0930336215,113.312780494,362.975699297,348.636946439,5.66466996096,8.67408289737
