Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,971.952875907,97.4147113599,581.117713149,0.0,34.9616554283,113.312780494,437.871432437,423.523230122,5.66466996096,8.68353235331
 01/01  02:00:00,978.967624338,97.4147113599,588.635754311,0.0,34.9616554283,113.312780494,448.442027048,434.094460589,5.66466996096,8.682896498
 01/01  03:00:00,979.258019684,97.4147113599,588.981806039,0.0,34.9616554283,113.312780494,455.82268326,441.473738785,5.66466996096,8.68427451378
 01/01  04:00:00,979.155890792,97.4147113599,588.900513445,0.0,34.9616554283,113.312780494,462.432599844,448.084394127,5.66466996096,8.68353575601
 01/01  05:00:00,988.1498344,97.4147113599,587.54544368,0.0,44.4937663224,113.312780494,455.805650723,441.458136103,5.66466996096,8.68284465854
 01/01  06:00:00,985.313507653,97.4147113599,584.57588041,0.0,44.4937663224,113.312780494,477.775712685,446.266404401,14.1616749024,17.3476333818
 01/01  07:00:00,1060.45291818,97.4147113599,586.787459167,0.0,54.0258772165,176.889270242,427.017107424,390.011000592,28.3233498048,8.68275702693
 01/01  08:00:00,1049.6877156,97.4147113599,584.018966328,0.0,54.0258772165,184.38654557,427.443946181,376.274834622,42.4850247072,8.6840868522
 01/01  09:00:00,1111.45286523,97.4147181487,565.182530859,0.0,65.1572554096,220.04316451,411.481627856,337.432700725,56.6466996096,17.4022275217
 01/01  10:00:00,1089.86669252,97.4366786766,550.127912321,0.0,65.1572554096,212.545889182,375.435821574,315.495802672,42.4850247072,17.4549941946
 01/01  11:00:00,1091.14774275,97.479772351,543.479538021,0.0,65.1572554096,220.04316451,388.961945474,300.640351456,70.808374512,17.513219506
 01/01  12:00:00,1091.88850121,97.4698930103,543.280986261,0.0,65.1572554096,220.04316451,386.259056744,297.940734922,70.808374512,17.5099473102
 01/01  13:00:00,1090.89364654,97.499457517,543.194220088,0.0,65.1572554096,220.04316451,383.302981605,286.235145832,70.808374512,26.2594612609
 01/01  14:00:00,1078.51750296,97.5270559348,538.513465768,0.0,65.1572554096,212.545889182,345.671919143,271.511997174,56.6466996096,17.5132223599
 01/01  15:00:00,1073.54371079,97.5131593509,534.046307264,0.0,65.1572554096,212.545889182,322.533249906,262.538271699,42.4850247072,17.5099534997
 01/01  16:00:00,1069.52460437,97.5135945109,530.429175558,0.0,65.1572554096,212.545889182,336.490091154,253.583917555,56.6466996096,26.2594739898
 01/01  17:00:00,1042.69295686,97.5010484285,529.250065371,0.0,65.1572554096,220.04316451,360.05956455,257.576283387,84.9700494144,17.5132317488
 01/01  18:00:00,1007.03989497,97.4735985607,532.269565873,0.0,54.0258772165,184.38654557,383.161178611,280.732047701,84.9700494144,17.4590814958
 01/01  19:00:00,989.798584935,97.4629088592,537.288353308,0.0,44.4937663224,163.454314868,413.667403585,320.013123723,84.9700494144,8.68423044819
 01/01  20:00:00,994.133156422,97.4553109122,547.875420891,0.0,44.4937663224,155.95703954,395.853648031,330.523461191,56.6466996096,8.68348722959
 01/01  21:00:00,965.179534906,97.4471159443,550.487288207,0.0,44.4937663224,124.558693486,432.637860508,367.308366525,56.6466996096,8.68279437347
 01/01  22:00:00,963.306559434,97.4388915215,548.962558891,0.0,44.4937663224,124.558693486,434.236201037,374.403654524,42.4850247072,17.347521806
 01/01  23:00:00,955.16728896,97.4285348394,551.122908563,0.0,34.9616554283,124.558693486,431.699954511,394.693899952,28.3233498048,8.68270475434
 01/01  24:00:00,968.077827416,97.4167818837,563.809684504,0.0,34.9616554283,124.558693486,431.970149323,409.124445748,14.1616749024,8.68402867282
 01/02  01:00:00,975.229848183,97.4147113599,572.663490988,0.0,46.0930336215,113.312780494,433.790013691,419.44201412,5.66466996096,8.68332960985
 01/02  02:00:00,977.192882844,97.4147113599,574.79934227,0.0,46.0930336215,113.312780494,441.487070079,427.139741522,5.66466996096,8.68265859581
 01/02  03:00:00,982.91241836,97.4147113599,580.898262789,0.0,46.0930336215,113.312780494,459.1887722,436.176850819,5.66466996096,17.3472514207
 01/02  04:00:00,986.151428707,97.4147113599,584.354093726,0.0,46.0930336215,113.312780494,457.775428035,443.428169869,5.66466996096,8.68258820548
 01/02  05:00:00,1076.86480359,97.4147113599,584.649146941,0.0,100.150657288,148.969399434,438.01336968,423.664796544,5.66466996096,8.68390317448
 01/02  06:00:00,1065.85095569,97.6398174062,571.019084129,0.0,100.150657288,149.894399434,828.410811994,805.565938866,14.1616749024,8.68319822525
 01/02  07:00:00,1291.21174676,98.0913033927,566.848813543,0.0,176.471037341,302.612436532,560.33496142,523.327937413,28.3233498048,8.68367420259
 01/02  08:00:00,1394.20895453,99.259489036,560.386455564,0.0,243.2593065,310.10971186,522.931036003,462.979148099,42.4850247072,17.4668631971
 01/02  09:00:00,1432.12890946,99.8872743332,556.30350465,0.0,243.2593065,310.10971186,506.640703105,423.711070254,56.6466996096,26.2829332415
 01/02  10:00:00,1457.55280147,100.6060938,547.200232115,0.0,243.2593065,302.612436532,462.286411291,393.449047944,42.4850247072,26.3523386399
 01/02  11:00:00,1455.80466952,101.465863076,537.359723897,0.0,243.2593065,310.10971186,461.414108634,364.137222899,70.808374512,26.4685112227
 01/02  12:00:00,1453.21606851,102.327440058,533.728665448,0.0,243.2593065,310.10971186,444.371828078,347.061564594,70.808374512,26.5018889718
 01/02  13:00:00,1426.53825331,103.264434124,547.822968099,0.0,243.2593065,310.10971186,433.846597627,336.637885945,70.808374512,26.4003371705
 01/02  14:00:00,1437.28920843,104.495318644,524.077877376,0.0,243.2593065,302.612436532,380.843412169,288.861799406,56.6466996096,35.3349131534
 01/02  15:00:00,1437.09575317,106.076644684,518.663749164,0.0,243.2593065,302.612436532,263.16411308,194.209585036,42.4850247072,26.4695033363
 01/02  16:00:00,1448.28326523,107.510902065,524.41140924,0.0,243.2593065,302.612436532,251.828241365,168.751432721,56.6466996096,26.4301090342
 01/02  17:00:00,1437.47798397,108.06597154,511.573660774,0.0,243.2593065,310.10971186,307.812338218,196.516389413,84.9700494144,26.3258993907
 01/02  18:00:00,1438.50629059,108.440557468,507.884701168,0.0,243.2593065,310.10971186,322.887128866,229.192824016,84.9700494144,8.72425543539
 01/02  19:00:00,1184.50982915,97.4636375083,523.03240321,0.0,166.938926447,199.110933808,363.262335318,260.908622953,84.9700494144,17.3836629509
 01/02  20:00:00,1211.63052448,97.4840616093,555.35151961,0.0,166.938926447,191.61365848,344.308715364,278.962135741,56.6466996096,8.69988001278
 01/02  21:00:00,1084.68821496,97.4658152238,562.542187001,0.0,100.150657288,124.558693486,400.69849576,326.669059462,56.6466996096,17.3827366884
 01/02  22:00:00,1045.67085238,97.4567542383,563.171287234,0.0,100.150657288,124.558693486,388.960312958,337.790277322,42.4850247072,8.68501092811
 01/02  23:00:00,976.371575807,97.4376943696,561.443835297,0.0,46.0930336215,124.558693486,398.303187361,361.295456397,28.3233498048,8.68438115897
 01/02  24:00:00,982.260856848,97.4231259426,566.816218279,0.0,46.0930336215,124.558693486,397.154134058,374.30882415,14.1616749024,8.68363500573
 01/03  01:00:00,973.385665204,97.4148844632,570.572152396,0.0,46.0930336215,113.312780494,399.1893343,384.840536191,5.66466996096,8.68412814806
 01/03  02:00:00,976.332627098,97.4147113599,573.783522356,0.0,46.0930336215,113.312780494,416.544600338,393.532005649,5.66466996096,17.3479247277
 01/03  03:00:00,975.177949183,97.4147113599,572.573600229,0.0,46.0930336215,113.312780494,414.341287774,399.993702464,5.66466996096,8.68291534979
 01/03  04:00:00,970.599285482,97.4147113599,567.6852423,0.0,46.0930336215,113.312780494,419.385856659,405.036923264,5.66466996096,8.68426343346
 01/03  05:00:00,1062.27057784,97.4147113599,565.589965072,0.0,100.150657288,148.969399434,403.9339594,389.585755972,5.66466996096,8.68353346679
 01/03  06:00:00,1061.09094238,98.0532070067,563.059089096,0.0,100.150657288,149.894399434,585.974436352,563.128179706,14.1616749024,8.68458174298
 01/03  07:00:00,1288.78314435,100.404356213,560.672043489,0.0,176.471037341,302.612436532,459.498292377,413.827115866,28.3233498048,17.347826706
 01/03  08:00:00,1389.20750783,102.795020423,551.568540348,0.0,243.2593065,310.10971186,433.939919128,373.991466074,42.4850247072,17.4634283464
 01/03  09:00:00,1421.1866046,104.369830817,540.209555363,0.0,243.2593065,310.10971186,418.422684489,344.248499167,56.6466996096,17.5274857127
 01/03  10:00:00,1445.42196951,105.684561597,530.742965351,0.0,243.2593065,302.612436532,385.560835799,316.719460057,42.4850247072,26.356351034
 01/03  11:00:00,1441.82843811,106.422964038,520.156854282,0.0,243.2593065,310.10971186,398.919488884,301.646195134,70.808374512,26.4649192377
 01/03  12:00:00,1435.36390568,107.752295784,512.41786465,0.0,243.2593065,310.10971186,389.695601684,283.560835727,70.808374512,35.3263914451
 01/03  13:00:00,1392.69127742,109.055624049,510.823430106,0.0,243.2593065,310.10971186,359.240110635,269.392347366,70.808374512,19.0393887565
 01/03  14:00:00,1427.69067312,110.416092796,510.637648785,0.0,243.2593065,302.612436532,335.831279687,245.287682776,56.6466996096,33.8968973016
 01/03  15:00:00,1429.91465004,112.264794754,510.147363153,0.0,243.2593065,302.612436532,288.56192189,219.612644043,42.4850247072,26.46425314
 01/03  16:00:00,1431.95426944,113.932276544,509.675720798,0.0,243.2593065,302.612436532,284.261747962,201.184585727,56.6466996096,26.4304626252
 01/03  17:00:00,1436.2059916,114.418144915,507.577529796,0.0,243.2593065,310.10971186,325.220043198,213.923369669,84.9700494144,26.3266241146
 01/03  18:00:00,1441.59797465,114.580666167,506.289882269,0.0,243.2593065,310.10971186,345.250480606,242.855093557,84.9700494144,17.4253376351
 01/03  19:00:00,1185.5948481,97.421734373,523.96897012,0.0,166.938926447,199.110933808,352.845826964,259.17459509,84.9700494144,8.70118245999
 01/03  20:00:00,1196.98938251,97.44409501,541.226292114,0.0,166.938926447,191.61365848,338.077671904,270.406334942,56.6466996096,11.024637352
 01/03  21:00:00,1072.4513423,97.4330987164,550.199760756,0.0,100.150657288,124.558693486,386.516584716,314.812069313,56.6466996096,15.0578157933
 01/03  22:00:00,1032.43352934,97.4278410274,549.520482886,0.0,100.150657288,124.558693486,377.15620289,325.98639307,42.4850247072,8.6847851123
 01/03  23:00:00,968.732614152,97.4153354283,553.191152851,0.0,46.0930336215,124.558693486,387.60321132,350.595668703,28.3233498048,8.68419281302
 01/03  24:00:00,978.025728678,97.4147113599,562.264375623,0.0,46.0930336215,124.558693486,396.446322408,364.93838731,14.1616749024,17.3462601955
 01/04  01:00:00,969.391928446,97.4147113599,566.259495717,0.0,46.0930336215,113.312780494,389.710896048,375.362065904,5.66466996096,8.68416018251
 01/04  02:00:00,974.207545108,97.4147113599,571.467570484,0.0,46.0930336215,113.312780494,399.496236989,385.148120091,5.66466996096,8.68344693663
 01/04  03:00:00,977.372085239,97.4147113599,574.880334137,0.0,46.0930336215,113.312780494,408.223803259,393.876362421,5.66466996096,8.68277087749
 01/04  04:00:00,969.608549309,97.4147113599,566.604342488,0.0,46.0930336215,113.312780494,412.451211806,398.102440431,5.66466996096,8.68410141345
 01/04  05:00:00,1057.8883404,97.4147113599,564.266799679,0.0,100.150657288,148.969399434,406.185959345,383.175186225,5.66466996096,17.3461031585
 01/04  06:00:00,1059.20149341,98.6676003664,563.135209882,0.0,100.150657288,149.894399434,533.239165161,510.393448986,14.1616749024,8.68404127272
 01/04  07:00:00,1288.12576663,102.51705635,559.119710551,0.0,176.471037341,302.612436532,428.904928675,391.898243327,28.3233498048,8.68333554315
 01/04  08:00:00,1393.01751908,105.572445931,552.801199442,0.0,243.2593065,310.10971186,422.747424894,362.794934566,42.4850247072,17.4674656203
 01/04  09:00:00,1423.52721173,106.948914257,539.988058791,0.0,243.2593065,310.10971186,416.666079872,342.492972531,56.6466996096,17.5264077315
 01/04  10:00:00,1443.54082691,107.823218543,526.773465494,0.0,243.2593065,302.612436532,393.638348979,324.794166751,42.4850247072,26.3591575213
 01/04  11:00:00,1438.29093512,109.3976394,514.141112818,0.0,243.2593065,310.10971186,392.669789001,295.397767174,70.808374512,26.4636473143
 01/04  12:00:00,1436.97686899,110.475858418,511.373956041,0.0,243.2593065,310.10971186,381.357299038,275.21515538,70.808374512,35.3337691454
 01/04  13:00:00,1397.52242904,111.168976796,511.57808564,0.0,243.2593065,310.10971186,343.745773453,246.537299377,70.808374512,26.4000995644
 01/04  14:00:00,1433.33829984,112.422523743,510.985603733,0.0,243.2593065,302.612436532,304.182940379,221.029929766,56.6466996096,26.5063110039
 01/04  15:00:00,1435.11674063,113.198658271,510.685726207,0.0,243.2593065,302.612436532,282.732595744,213.783306105,42.4850247072,26.4642649323
 01/04  16:00:00,1435.63141879,114.102532745,510.229110778,0.0,243.2593065,302.612436532,305.774135419,213.89533252,56.6466996096,35.23210329
 01/04  17:00:00,1441.46522675,114.67074615,509.321624834,0.0,243.2593065,310.10971186,324.944974271,222.416752978,84.9700494144,17.5581718787
 01/04  18:00:00,1446.21803531,114.758537231,507.845676211,0.0,243.2593065,310.10971186,345.082330492,242.686048311,84.9700494144,17.4262327669
 01/04  19:00:00,1188.88080591,97.4147113599,527.59791196,0.0,166.938926447,199.110933808,393.09793366,299.427192857,84.9700494144,8.7006913887
 01/04  20:00:00,1239.50092862,97.4147113599,584.876716975,0.0,166.938926447,191.61365848,405.083532365,331.053720256,56.6466996096,17.3831124991
 01/04  21:00:00,1113.48864837,97.4147113599,593.304427553,0.0,100.150657288,124.558693486,439.694515819,374.34783374,56.6466996096,8.69998246945
 01/04  22:00:00,1076.80692583,97.4147113599,596.468820645,0.0,100.150657288,124.558693486,438.252325147,387.082594183,42.4850247072,8.68470625661
 01/04  23:00:00,1012.9375864,97.4147113599,600.621741305,0.0,46.0930336215,124.558693486,456.322496382,410.651526258,28.3233498048,17.347620319
 01/04  24:00:00,1012.72968636,97.4147113599,599.540652649,0.0,46.0930336215,124.558693486,442.301444713,419.456990379,14.1616749024,8.6827794316
 01/05  01:00:00,999.000309161,97.4147113599,598.122356543,0.0,46.0930336215,113.312780494,440.208625824,425.859812009,5.66466996096,8.684143854
 01/05  02:00:00,999.58955795,97.4147113599,598.746339457,0.0,46.0930336215,113.312780494,446.999777666,432.651669263,5.66466996096,8.6834384416
 01/05  03:00:00,997.775398985,97.4147113599,596.751096328,0.0,46.0930336215,113.312780494,452.320076691,437.972639807,5.66466996096,8.68276692253
 01/05  04:00:00,1004.4641162,97.4147113599,603.87476911,0.0,46.0930336215,113.312780494,467.565836014,444.553678376,5.66466996096,17.3474876775
 01/05  05:00:00,1100.71872278,97.4147113599,610.09657528,0.0,100.150657288,148.969399434,445.691349129,431.343960002,5.66466996096,8.68271916588
 01/05  06:00:00,1098.96445926,98.2812323631,606.169064553,0.0,100.150657288,149.894399434,595.684397342,572.838674109,14.1616749024,8.68404833022
 01/05  07:00:00,1328.3757841,102.436726379,602.564656613,0.0,176.471037341,302.612436532,482.23134183,445.224643387,28.3233498048,8.68334863802
 01/05  08:00:00,1430.43567686,105.198523564,593.657012356,0.0,243.2593065,310.10971186,474.361821323,414.410176515,42.4850247072,17.4666201014
 01/05  09:00:00,1470.16311627,106.265049122,591.063515165,0.0,243.2593065,310.10971186,479.20260211,396.271658609,56.6466996096,26.2842438915
 01/05  10:00:00,1492.23610507,107.694545245,577.576344349,0.0,243.2593065,302.612436532,427.525607245,367.462422114,42.4850247072,17.5781604239
 01/05  11:00:00,1494.15894567,108.930740974,570.438954241,0.0,243.2593065,310.10971186,456.901960301,350.809227587,70.808374512,35.2843582014
 01/05  12:00:00,1482.74606023,109.563197783,556.568245623,0.0,243.2593065,310.10971186,438.978446696,341.665148633,70.808374512,26.5049235514
 01/05  13:00:00,1435.33702303,110.295811375,549.719049042,0.0,243.2593065,310.10971186,427.86600728,330.656188661,70.808374512,26.4014441074
 01/05  14:00:00,1464.32383862,111.187169396,544.022937851,0.0,243.2593065,302.612436532,401.781388031,318.633829383,56.6466996096,26.5008590388
 01/05  15:00:00,1463.14576136,112.032648696,541.827506672,0.0,243.2593065,302.612436532,386.631927711,308.861797981,42.4850247072,35.2851050232
 01/05  16:00:00,1466.50518885,112.373122874,545.07347292,0.0,243.2593065,302.612436532,397.907473673,314.832686224,56.6466996096,26.4280878393
 01/05  17:00:00,1473.87732953,113.259551495,544.935526852,0.0,243.2593065,310.10971186,414.183162816,311.651967145,84.9700494144,17.5611462558
 01/05  18:00:00,1478.88501401,113.684027496,541.531770941,0.0,243.2593065,310.10971186,416.811617682,314.413874673,84.9700494144,17.4276935954
 01/05  19:00:00,1228.88158011,97.4147113599,566.710398059,0.0,166.938926447,199.110933808,419.152113276,316.798529012,84.9700494144,17.3835348494
 01/05  20:00:00,1229.40286212,97.4147113599,574.291998967,0.0,166.938926447,191.61365848,389.266055786,323.917807273,56.6466996096,8.70154890384
 01/05  21:00:00,1099.38977071,97.4147113599,578.450491171,0.0,100.150657288,124.558693486,439.685424402,365.656343286,56.6466996096,17.3823815071
 01/05  22:00:00,1066.44348673,97.4147113599,585.530418264,0.0,100.150657288,124.558693486,426.595461521,375.424099546,42.4850247072,8.68633726868
 01/05  23:00:00,999.025923808,97.4147113599,586.040848239,0.0,46.0930336215,124.558693486,432.553044126,395.546106592,28.3233498048,8.68358772979
 01/05  24:00:00,996.826532447,97.4147113599,582.793510558,0.0,46.0930336215,124.558693486,425.468853066,402.624267692,14.1616749024,8.68291047072
 01/06  01:00:00,982.817316191,97.4147113599,580.999566669,0.0,46.0930336215,113.312780494,421.238042162,406.88908952,5.66466996096,8.68428268115
 01/06  02:00:00,980.027855343,97.4147113599,578.010466345,0.0,46.0930336215,113.312780494,433.360658975,410.349514738,5.66466996096,17.3464742759
 01/06  03:00:00,975.096628189,97.4147113599,572.706610934,0.0,46.0930336215,113.312780494,428.117576933,413.768661205,5.66466996096,8.68424576744
 01/06  04:00:00,969.887369948,97.4147113599,567.099929794,0.0,46.0930336215,113.312780494,430.356563037,416.008358816,5.66466996096,8.68353426035
 01/06  05:00:00,1064.42485025,97.4147113599,567.918972963,0.0,100.150657288,148.969399434,414.19936237,399.851830723,5.66466996096,8.68286168641
 01/06  06:00:00,1057.92467004,98.5896593756,559.201148901,0.0,100.150657288,149.894399434,549.069714069,526.223830767,14.1616749024,8.68420839975
 01/06  07:00:00,1277.91293455,103.198584363,546.188928042,0.0,176.471037341,302.612436532,446.073065114,400.402245429,28.3233498048,17.3474698799
 01/06  08:00:00,1381.13507212,106.163062809,539.531259342,0.0,243.2593065,310.10971186,425.365870684,365.418444585,42.4850247072,17.4624013921
 01/06  09:00:00,1417.28532849,107.606472406,533.514129112,0.0,243.2593065,310.10971186,415.837407563,341.660798756,56.6466996096,17.5299091982
 01/06  10:00:00,1438.14738389,108.599111211,521.370259217,0.0,243.2593065,302.612436532,389.757427898,320.91607779,42.4850247072,26.3563254012
 01/06  11:00:00,1435.70742179,109.483633207,512.097538824,0.0,243.2593065,310.10971186,394.929190392,297.652995162,70.808374512,26.4678207184
 01/06  12:00:00,1438.97549255,110.526148157,512.27320217,0.0,243.2593065,310.10971186,361.087202431,263.778328856,70.808374512,26.5004990634
 01/06  13:00:00,1402.26623011,111.61347094,512.805704914,0.0,243.2593065,310.10971186,323.211830886,226.000315138,70.808374512,26.4031412357
 01/06  14:00:00,1441.98657078,113.620254359,515.388917168,0.0,243.2593065,302.612436532,289.496008863,197.514022412,56.6466996096,35.3352868411
 01/06  15:00:00,1446.36626683,115.82306871,517.077192505,0.0,243.2593065,302.612436532,250.413721939,181.459682631,42.4850247072,26.4690146005
 01/06  16:00:00,1449.13803329,116.795787147,518.245390785,0.0,243.2593065,302.612436532,260.729721175,177.653087442,56.6466996096,26.429934123
 01/06  17:00:00,1460.74854432,118.657479239,520.15545852,0.0,243.2593065,310.10971186,280.167905348,168.867204179,84.9700494144,26.3306517549
 01/06  18:00:00,1469.39002313,119.099327669,520.536823489,0.0,243.2593065,310.10971186,277.916092398,175.521263917,84.9700494144,17.4247790675
 01/06  19:00:00,1173.24710797,97.4147113599,511.8151144,0.0,166.938926447,199.110933808,307.052985488,213.382085103,84.9700494144,8.700850971
 01/06  20:00:00,1166.23179424,97.4147113599,512.794450648,0.0,166.938926447,191.61365848,292.82860575,227.480489958,56.6466996096,8.70141618222
 01/06  21:00:00,1033.04893757,97.4147113599,513.524267967,0.0,100.150657288,124.558693486,341.068559323,267.039570198,56.6466996096,17.3822895154
 01/06  22:00:00,994.189465916,97.4147113599,513.679649456,0.0,100.150657288,124.558693486,322.467516203,271.295908168,42.4850247072,8.68658332799
 01/06  23:00:00,927.877255827,97.4147113599,514.014808239,0.0,46.0930336215,124.558693486,322.622837354,285.615611033,28.3233498048,8.68387651655
 01/06  24:00:00,930.109961121,97.4147113599,514.563505129,0.0,46.0930336215,124.558693486,308.857481036,283.844548269,14.1616749024,10.8512578643
 01/07  01:00:00,917.879004424,97.4147113599,514.656558477,0.0,46.0930336215,113.312780494,309.699885944,288.856603675,5.66466996096,15.1786123087
 01/07  02:00:00,918.519670496,97.4147113599,514.802185949,0.0,46.0930336215,113.312780494,303.609080295,289.261219033,5.66466996096,8.68319130078
 01/07  03:00:00,916.160271062,97.4147113599,513.444011052,0.0,46.0930336215,113.312780494,323.903460762,309.554222834,5.66466996096,8.68456796711
 01/07  04:00:00,911.853332867,97.4147113599,511.469109185,0.0,46.0930336215,113.312780494,363.295131513,348.946623817,5.66466996096,8.68383773574
 01/07  05:00:00,922.091680912,97.4147113599,511.886623547,0.0,55.6251445156,113.312780494,374.579634977,360.231806013,5.66466996096,8.6831590028
 01/07  06:00:00,924.845051283,97.4147113599,513.545268718,0.0,55.6251445156,113.312780494,404.666887574,373.156878966,14.1616749024,17.3483337061
 01/07  07:00:00,1003.63284392,97.4147113599,518.673892638,0.0,65.1572554096,176.889270242,356.48634409,319.479869045,28.3233498048,8.68312523991
 01/07  08:00:00,1116.29044919,98.092758112,523.713858697,0.0,109.682768182,220.96816451,482.92514563,431.755622247,42.4850247072,8.68449867511
 01/07  09:00:00,1121.54565675,98.1833721701,519.677646644,0.0,109.682768182,220.96816451,454.53473306,380.475524282,56.6466996096,17.4125091686
 01/07  10:00:00,1225.32655209,100.379785557,514.860970146,0.0,131.945524568,266.955817592,393.085393262,333.130110453,42.4850247072,17.4702581022
 01/07  11:00:00,1238.33253534,100.802411744,516.264996286,0.0,131.945524568,274.45309292,350.268688122,261.933227853,70.808374512,17.5270857577
 01/07  12:00:00,1247.0800549,101.402837363,519.416671295,0.0,131.945524568,274.45309292,320.453056979,223.363615302,70.808374512,26.2810671647
 01/07  13:00:00,1217.02528696,101.478214511,520.916579795,0.0,131.945524568,274.45309292,304.610000581,216.27529439,70.808374512,17.526331679
 01/07  14:00:00,1208.76492328,101.429484837,520.290680503,0.0,131.945524568,266.955817592,284.730720257,210.560523845,56.6466996096,17.5234968028
 01/07  15:00:00,1209.64092867,101.462558793,520.864837343,0.0,131.945524568,266.955817592,274.713086547,205.950983869,42.4850247072,26.2770779706
 01/07  16:00:00,1112.50808744,97.4147113599,511.570658312,0.0,109.682768182,212.545889182,282.910370209,208.738587591,56.6466996096,17.5250830079
 01/07  17:00:00,1138.65070259,97.4147113599,530.155055911,0.0,109.682768182,220.04316451,399.910275045,288.662749724,84.9700494144,26.2774759061
 01/07  18:00:00,1131.7012792,97.4147113599,556.475270447,0.0,109.682768182,220.04316451,400.060739946,297.629784299,84.9700494144,17.4609062325
 01/07  19:00:00,1097.77169553,97.4147113599,553.500596092,0.0,100.150657288,199.110933808,427.489017028,333.83591064,84.9700494144,8.68305697308
 01/07  20:00:00,1102.73830085,97.4147113599,566.082827153,0.0,100.150657288,191.61365848,411.517035132,346.185935804,56.6466996096,8.6843997175
 01/07  21:00:00,995.934474713,97.4147113599,571.325935392,0.0,55.6251445156,124.558693486,457.227951768,391.897567793,56.6466996096,8.68368436592
 01/07  22:00:00,997.663482804,97.4147113599,573.724914189,0.0,55.6251445156,124.558693486,452.441775476,401.273745287,42.4850247072,8.68300548222
 01/07  23:00:00,983.610376069,97.4147113599,569.526550123,0.0,46.0930336215,124.558693486,465.37121028,419.69986126,28.3233498048,17.3479992155
 01/07  24:00:00,981.12336393,97.4147113599,565.678433302,0.0,46.0930336215,124.558693486,447.419396006,424.574752139,14.1616749024,8.68296896473
 01/08  01:00:00,958.510038655,97.4147113599,566.692625796,0.0,34.9616554283,113.312780494,444.80148194,430.452466295,5.66466996096,8.68434568376
 01/08  02:00:00,976.544471762,97.4147113599,586.000890479,0.0,34.9616554283,113.312780494,456.625904581,442.277596032,5.66466996096,8.68363858811
 01/08  03:00:00,999.248518931,97.4147113599,610.235503753,0.0,34.9616554283,113.312780494,470.227433271,455.879793171,5.66466996096,8.68297013966
 01/08  04:00:00,1014.46056843,97.4147113599,626.604287864,0.0,34.9616554283,113.312780494,487.747632073,464.735027636,5.66466996096,17.3479344753
 01/08  05:00:00,1031.08343714,97.4147113599,633.664714774,0.0,44.4937663224,113.312780494,472.170040113,457.82242545,5.66466996096,8.68294470186
 01/08  06:00:00,1035.34694738,97.4147113599,638.416802433,0.0,44.4937663224,113.312780494,485.04676776,462.200800604,14.1616749024,8.6842922534
 01/08  07:00:00,1111.54203914,97.4147113599,641.796435111,0.0,54.0258772165,176.889270242,442.822110982,405.815174607,28.3233498048,8.68358657025
 01/08  08:00:00,1099.4109254,97.4147113599,637.53965497,0.0,54.0258772165,184.38654557,448.969473315,397.801529928,42.4850247072,8.68291867982
 01/08  09:00:00,1177.53519474,97.4147113599,636.138939291,0.0,65.1572554096,220.04316451,445.450864759,371.40125084,56.6466996096,17.4029143093
 01/08  10:00:00,1174.77708567,97.4147113599,641.324641966,0.0,65.1572554096,212.545889182,419.960783275,360.020820684,42.4850247072,17.4549378839
 01/08  11:00:00,1186.460575,97.4147113599,646.068113163,0.0,65.1572554096,220.04316451,445.806519455,357.486464117,70.808374512,17.5116808257
 01/08  12:00:00,1188.43419375,97.4147113599,647.411228195,0.0,65.1572554096,220.04316451,442.36548006,345.298414468,70.808374512,26.2586910807
 01/08  13:00:00,1184.10787962,97.4147113599,644.384820516,0.0,65.1572554096,220.04316451,424.231797519,335.907802784,70.808374512,17.5156202224
 01/08  14:00:00,1171.50836882,97.4147113599,639.110737852,0.0,65.1572554096,212.545889182,394.914225214,320.755406979,56.6466996096,17.5121186256
 01/08  15:00:00,1168.52757773,97.4147113599,636.149818743,0.0,65.1572554096,212.545889182,374.555662543,305.811482214,42.4850247072,26.2591556215
 01/08  16:00:00,1167.20276401,97.4147113599,634.949834888,0.0,65.1572554096,212.545889182,374.571870546,300.409170839,56.6466996096,17.5160000973
 01/08  17:00:00,1144.34325546,97.4147113599,637.603833178,0.0,65.1572554096,220.04316451,405.75926598,303.276820932,84.9700494144,17.5123956334
 01/08  18:00:00,1113.37372394,97.4147113599,645.978065224,0.0,54.0258772165,184.38654557,429.505410651,327.075896321,84.9700494144,17.4594649153
 01/08  19:00:00,1097.1373296,97.4147113599,652.614802279,0.0,44.4937663224,163.454314868,469.522727598,367.206253329,84.9700494144,17.3464248546
 01/08  20:00:00,1093.81779654,97.4147113599,656.186608111,0.0,44.4937663224,155.95703954,439.398389442,374.067469674,56.6466996096,8.6842201587
 01/08  21:00:00,1062.98795358,97.4147113599,656.725756206,0.0,44.4937663224,124.558693486,477.442423029,412.112203577,56.6466996096,8.68351984239
 01/08  22:00:00,1067.74156903,97.4147113599,661.930399162,0.0,44.4937663224,124.558693486,474.831022157,423.663143382,42.4850247072,8.68285406816
